"Sessione";"Elezione";"Provincia";"Comune";"Sezione";"Zona";"CollCam";"CollSen";"CollPro";"Elettori";"Votanti";"Validi";"Non validi";"POPOLARI PER L'ITALIA";"+EUROPA - ITALIA IN COMUNE - P";"PARTITO COMUNISTA";"POPOLO DELLA FAMIGLIA - ALTERN";"PARTITO PIRATA";"EUROPA VERDE";"LA SINISTRA";"FORZA ITALIA";"FRATELLI D'ITALIA";"MOVIMENTO 5 STELLE";"CASAPOUND ITALIA - DESTRE UNIT";"LEGA SALVINI PREMIER";"FORZA NUOVA";"PARTITO ANIMALISTA";"PARTITO DEMOCRATICO";"AUTONOMIE PER L'EUROPA"
26/05/2019;1;"Milano";"Milano";493;8;;;;870;525;520;5;2;23;5;1;0;13;11;47;31;32;0;156;1;0;198;0
26/05/2019;1;"Milano";"Milano";495;8;;;;915;586;580;6;4;36;4;0;1;24;8;50;32;31;1;113;0;1;274;1
26/05/2019;1;"Milano";"Milano";498;1;;;;795;461;456;5;0;26;3;1;2;24;21;25;19;44;0;93;0;1;195;2
26/05/2019;1;"Milano";"Milano";499;1;;;;813;534;529;5;3;51;1;3;1;16;6;44;25;23;0;76;0;2;277;1
26/05/2019;1;"Milano";"Milano";501;1;;;;898;565;552;13;0;52;1;0;0;19;3;74;25;19;1;123;0;1;234;0
26/05/2019;1;"Milano";"Milano";502;6;;;;934;571;564;7;1;44;0;4;1;15;7;99;33;25;1;139;1;1;191;2
26/05/2019;1;"Milano";"Milano";504;7;;;;905;583;576;7;3;27;3;3;1;34;13;26;36;72;3;160;0;5;190;0
26/05/2019;1;"Milano";"Milano";505;1;;;;822;459;452;7;0;38;3;0;0;17;14;59;22;23;1;97;0;2;176;0
26/05/2019;1;"Milano";"Milano";506;1;;;;662;383;381;2;0;29;2;0;0;16;9;52;14;25;0;68;0;0;166;0
26/05/2019;1;"Milano";"Milano";508;4;;;;877;547;537;10;1;37;1;0;0;12;5;54;51;44;0;137;1;1;193;0
26/05/2019;1;"Milano";"Milano";510;9;;;;849;495;485;10;2;16;6;2;3;14;12;37;23;50;2;183;0;2;132;1
26/05/2019;1;"Milano";"Milano";511;9;;;;1111;630;621;9;0;16;4;0;0;16;12;61;32;70;1;208;0;10;191;0
26/05/2019;1;"Milano";"Milano";512;1;;;;850;512;508;4;2;43;0;2;1;11;6;93;23;17;1;95;0;0;214;0
26/05/2019;1;"Milano";"Milano";514;1;;;;878;569;567;2;1;38;3;0;1;12;4;66;39;21;1;131;1;2;247;0
26/05/2019;1;"Milano";"Milano";515;1;;;;836;527;523;4;2;57;1;0;2;5;5;74;39;16;0;87;0;1;234;0
26/05/2019;1;"Milano";"Milano";518;6;;;;706;359;345;14;0;10;2;0;0;11;0;31;16;32;0;151;1;4;87;0
26/05/2019;1;"Milano";"Milano";519;1;;;;643;366;362;4;2;26;1;2;1;19;7;43;17;23;1;79;0;3;137;1
26/05/2019;1;"Milano";"Milano";521;1;;;;723;411;406;5;0;32;1;2;0;10;4;40;29;19;3;99;0;6;161;0
26/05/2019;1;"Milano";"Milano";523;1;;;;828;525;514;11;0;36;1;1;0;12;4;46;40;29;0;102;0;1;242;0
26/05/2019;1;"Milano";"Milano";525;1;;;;820;416;411;5;1;24;1;0;1;9;1;59;26;14;0;90;0;3;182;0
26/05/2019;1;"Milano";"Milano";526;9;;;;764;440;439;1;2;30;1;0;1;11;11;48;24;37;0;73;0;1;200;0
26/05/2019;1;"Milano";"Milano";530;1;;;;1;24;23;1;1;1;0;0;0;0;1;2;0;2;0;7;0;0;9;0
26/05/2019;1;"Milano";"Milano";532;6;;;;853;516;491;25;1;17;2;2;1;10;5;44;28;57;2;176;2;2;142;0
26/05/2019;1;"Milano";"Milano";534;1;;;;923;562;559;3;0;54;0;2;1;14;4;94;33;23;0;122;0;1;211;0
26/05/2019;1;"Milano";"Milano";535;2;;;;595;353;349;4;2;24;1;0;0;10;2;69;32;12;1;90;0;3;101;2
26/05/2019;1;"Milano";"Milano";537;1;;;;623;62;61;1;0;8;0;0;0;2;0;7;2;4;0;8;0;1;29;0
26/05/2019;1;"Milano";"Milano";538;3;;;;863;544;533;11;1;18;4;0;1;14;14;42;34;72;0;166;0;1;165;1
26/05/2019;1;"Milano";"Milano";539;7;;;;590;359;355;4;0;9;4;2;1;10;6;33;17;28;0;109;0;1;134;1
26/05/2019;1;"Milano";"Milano";540;9;;;;944;561;560;1;2;39;2;1;1;12;8;78;25;28;2;103;0;3;255;1
26/05/2019;1;"Milano";"Milano";541;6;;;;580;258;256;2;1;4;2;0;1;11;7;27;16;36;1;95;1;0;52;2
26/05/2019;1;"Milano";"Milano";542;9;;;;825;463;460;3;1;39;0;0;0;11;6;58;22;29;1;96;0;1;196;0
26/05/2019;1;"Milano";"Milano";543;8;;;;833;535;523;12;3;21;4;0;0;34;20;37;27;64;1;154;0;2;156;0
26/05/2019;1;"Milano";"Milano";547;9;;;;952;605;597;8;4;31;4;2;0;24;10;51;35;49;2;113;0;4;267;1
26/05/2019;1;"Milano";"Milano";548;9;;;;761;456;440;16;0;29;4;4;2;9;16;52;23;29;1;98;0;2;171;0
26/05/2019;1;"Milano";"Milano";549;8;;;;734;412;391;21;0;5;1;1;0;21;3;29;9;49;1;181;0;3;88;0
26/05/2019;1;"Milano";"Milano";550;9;;;;955;559;549;10;1;30;5;0;1;14;24;54;11;35;0;122;0;3;249;0
26/05/2019;1;"Milano";"Milano";551;8;;;;677;405;398;7;0;15;4;1;0;43;16;25;10;44;0;94;0;0;146;0
26/05/2019;1;"Milano";"Milano";552;6;;;;804;443;435;8;2;12;1;0;0;12;10;39;38;38;2;146;0;3;132;0
26/05/2019;1;"Milano";"Milano";555;9;;;;725;436;426;10;5;23;6;2;1;20;16;22;22;29;0;85;0;1;194;0
26/05/2019;1;"Milano";"Milano";556;9;;;;1014;570;565;5;1;29;3;1;0;22;20;57;33;45;3;125;1;1;224;0
26/05/2019;1;"Milano";"Milano";558;9;;;;823;448;441;7;0;23;3;2;1;16;9;48;11;42;1;94;0;0;189;2
26/05/2019;1;"Milano";"Milano";561;9;;;;729;387;381;6;1;28;5;2;0;19;10;32;18;36;1;96;0;2;130;1
26/05/2019;1;"Milano";"Milano";562;9;;;;917;552;545;7;0;40;4;2;3;17;19;37;30;48;0;118;0;5;219;3
26/05/2019;1;"Milano";"Milano";564;6;;;;667;459;455;4;1;30;4;3;1;11;6;54;30;31;0;99;0;1;183;1
26/05/2019;1;"Milano";"Milano";566;2;;;;686;356;348;8;0;17;1;0;0;8;2;44;29;16;0;107;0;2;122;0
26/05/2019;1;"Milano";"Milano";567;9;;;;909;602;591;11;2;31;2;0;1;20;6;81;33;43;0;176;0;3;193;0
26/05/2019;1;"Milano";"Milano";568;2;;;;608;224;222;2;0;14;0;1;0;4;9;33;12;15;2;54;0;1;76;1
26/05/2019;1;"Milano";"Milano";569;9;;;;748;391;386;5;6;29;1;2;1;19;4;56;17;35;0;94;0;0;122;0
26/05/2019;1;"Milano";"Milano";570;4;;;;607;412;406;6;3;20;3;1;0;6;1;61;31;19;0;115;1;3;142;0
26/05/2019;1;"Milano";"Milano";571;2;;;;682;350;346;4;2;22;1;4;0;11;12;45;16;28;3;84;0;1;117;0
26/05/2019;1;"Milano";"Milano";573;2;;;;691;412;406;6;3;22;1;2;0;6;5;32;32;37;0;108;0;1;157;0
26/05/2019;1;"Milano";"Milano";574;2;;;;747;419;410;9;0;23;2;1;2;7;10;49;23;34;0;114;0;2;143;0
26/05/2019;1;"Milano";"Milano";575;2;;;;838;564;552;12;0;40;1;3;0;14;8;69;42;31;1;131;0;4;208;0
26/05/2019;1;"Milano";"Milano";580;9;;;;734;416;407;9;1;30;4;0;3;17;12;31;16;24;0;77;0;1;191;0
26/05/2019;1;"Milano";"Milano";582;9;;;;658;403;400;3;0;31;0;0;3;12;7;51;25;32;0;85;0;0;153;1
26/05/2019;1;"Milano";"Milano";583;5;;;;663;332;321;11;0;10;4;1;1;3;7;28;4;38;0;134;0;2;89;0
26/05/2019;1;"Milano";"Milano";585;2;;;;800;460;455;5;0;56;1;2;1;6;6;68;23;16;0;118;1;0;157;0
26/05/2019;1;"Milano";"Milano";586;2;;;;823;491;489;2;0;35;1;0;2;19;1;77;31;14;0;122;0;0;187;0
26/05/2019;1;"Milano";"Milano";589;2;;;;1134;609;603;6;1;48;2;1;0;29;14;83;34;24;2;123;1;2;237;2
26/05/2019;1;"Milano";"Milano";590;3;;;;782;438;432;6;2;38;2;2;2;19;6;41;18;31;0;90;0;1;179;1
26/05/2019;1;"Milano";"Milano";592;3;;;;694;412;406;6;0;32;4;0;0;11;7;40;17;43;2;101;0;0;149;0
26/05/2019;1;"Milano";"Milano";594;3;;;;844;532;529;3;0;44;1;0;4;20;8;43;35;28;1;117;1;4;223;0
26/05/2019;1;"Milano";"Milano";596;3;;;;688;447;440;7;0;26;4;1;0;14;5;38;28;24;0;99;0;4;197;0
